"id_day","id","Sex","DayofWeek","Age","H0","H1","H2","H3","H4","H5","H6","H7","H8","H9","H10","H11","H12","H13","H14","H15","H16","H17","H18","H19","H20","H21","H22","H23","POSTLC1","POSTLC2","POSTLC3","BEST"
1010618100,10106181,1,"Friday",63,1,1,1,1,1,1,1,1,3,1,1,1,2,3,1,1,1,3,3,1,1,1,1,1,0.997257767881189,0.001521845022391,0.0012203870964202,1
10106181000,10106181,1,"Saturday",63,1,1,1,1,1,1,1,1,3,1,1,1,3,1,1,1,1,1,3,1,1,1,1,1,0.996966210332968,0.00190452160775366,0.00112926805927895,1
101061810000,10106181,1,"Sunday",63,1,1,1,1,1,1,1,1,3,1,1,2,1,3,1,1,1,2,2,1,1,1,1,1,0.116983613019202,0.879652561807016,0.00336382517378219,2
101062510,10106251,1,"Friday",39,1,1,1,1,1,1,1,3,1,1,1,1,3,1,1,3,1,1,1,3,3,2,1,1,0.976588490312135,0.00043591217287289,0.0229755975149924,1
1010625100,10106251,1,"Saturday",39,1,1,1,1,1,1,1,1,3,1,3,1,1,3,1,3,1,1,1,3,1,1,1,3,0.994539746120874,2.07572977213735e-005,0.00543949658140445,1
10106251000,10106251,1,"Sunday",39,1,1,3,1,1,1,1,1,3,1,2,1,1,3,1,1,1,1,3,1,2,1,1,1,0.637268838389903,0.0274093334363826,0.335321828173715,1
101062510000,10106251,1,"Monday",39,1,1,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,0.337479179704236,0.632268394113047,0.0302524261827167,2
101062610,10106261,1,"Saturday",37,1,1,1,1,1,1,1,1,1,1,1,3,1,1,1,1,3,1,1,2,1,1,1,1,0.839202939035249,0.143784621350638,0.0170124396141126,1
1010626100,10106261,1,"Sunday",37,1,1,1,1,1,1,1,1,1,1,1,3,1,1,3,3,1,3,3,1,1,1,3,1,0.986922141838151,1.36508911747888e-005,0.0130642072706746,1
10106261000,10106261,1,"Monday",37,1,1,1,1,1,1,1,1,1,3,1,3,1,3,1,1,3,1,3,3,1,3,3,1,0.991982175605737,2.89150224555376e-007,0.0080175352440386,1
101062610000,10106261,1,"Tuesday",37,1,1,1,1,1,1,1,1,1,3,3,1,3,2,1,3,1,3,2,1,1,1,1,1,0.984225689209405,0.00515629029140386,0.0106180204991909,1
101070110,10107011,1,"Friday",54,1,1,1,1,1,1,1,1,3,1,3,1,3,1,1,3,1,3,3,1,1,3,1,1,0.999054234333081,1.43061509004046e-006,0.000944335051829392,1
1010701100,10107011,1,"Saturday",54,1,1,1,1,1,1,1,1,3,1,1,1,3,1,3,1,1,1,3,1,1,3,1,1,0.998163562639506,5.76014748031982e-005,0.00177883588569092,1
10107011000,10107011,1,"Sunday",54,1,1,1,1,1,1,1,1,3,1,3,1,3,1,1,1,1,1,2,1,1,1,1,1,0.972797257281137,0.0235976747030144,0.00360506801584814,1
101070110000,10107011,1,"Monday",54,1,1,1,1,1,1,1,1,2,1,1,1,2,1,1,2,1,1,2,1,1,1,2,1,2.47426398556349e-005,0.999924117916327,5.11394438170882e-005,2
101070710,10107071,2,"Friday",59,1,1,1,1,1,1,1,2,1,1,1,1,1,3,1,1,1,2,3,1,1,1,3,1,0.850835246867179,0.133657154063606,0.0155075990692152,1
1010707100,10107071,2,"Saturday",59,3,1,1,1,1,1,1,1,2,1,1,1,3,1,1,3,1,1,1,3,1,3,1,1,0.960717281030441,0.00111991567834626,0.0381628032912132,1
10107071000,10107071,2,"Sunday",59,1,1,1,1,1,1,1,3,1,1,1,1,1,3,1,1,3,1,1,1,3,1,3,1,0.991487832360817,0.00011696435827804,0.00839520328090538,1
101070710000,10107071,2,"Monday",59,1,1,1,1,1,1,1,1,2,1,1,3,1,1,1,1,1,1,2,1,1,2,1,1,0.0166835023096635,0.978812756641846,0.00450374104849076,2
101071110,10107111,2,"Friday",52,1,1,1,1,1,1,1,1,3,1,1,1,1,3,1,1,1,1,3,1,1,3,1,1,0.998621702241686,0.00028357822148547,0.00109471953682861,1
1010711100,10107111,2,"Saturday",52,1,3,1,1,1,1,1,1,3,1,3,1,1,3,1,1,3,3,1,1,2,1,1,3,0.378770177456847,5.48535087252423e-006,0.62122433719228,3
10107111000,10107111,2,"Sunday",52,1,1,1,1,1,1,1,1,1,1,3,1,1,1,3,3,3,1,1,3,3,1,1,1,0.992471247444182,3.05276233757134e-005,0.00749822493244211,1
101071110000,10107111,2,"Monday",52,1,1,1,1,1,1,1,1,2,1,1,1,1,2,1,1,2,1,2,1,2,1,1,1,4.3241079116996e-005,0.999892355602234,6.44033186490913e-005,2
101072510,10107251,1,"Friday",21,1,1,1,1,1,1,1,1,3,1,1,1,1,3,1,1,1,1,1,1,3,1,1,3,0.989449195105736,0.000537810252227955,0.0100129946420364,1
1010725100,10107251,1,"Saturday",21,1,2,2,2,2,1,1,1,3,2,1,1,1,3,1,3,1,1,1,1,3,1,1,2,7.2958723655762e-040,0.0003297835960275,0.999670216403972,3
10107251000,10107251,1,"Sunday",21,1,1,2,1,1,1,1,1,3,1,2,1,3,1,2,1,2,1,3,1,2,1,2,2,5.30456712762223e-037,0.0343937607982753,0.965606239201725,3
101072510000,10107251,1,"Monday",21,1,1,1,1,1,1,1,1,1,2,1,1,2,1,1,1,3,1,1,1,1,2,1,1,0.00660183090905247,0.991833641523975,0.00156452756697246,2
101072610,10107261,2,"Friday",85,1,1,1,1,1,1,2,3,1,1,1,3,3,1,3,1,2,3,1,3,1,1,1,1,0.973464389077838,0.000680752687676087,0.0258548582344857,1
1010726100,10107261,2,"Saturday",85,1,1,1,1,1,1,2,3,1,1,1,3,3,1,3,1,1,3,1,1,1,1,1,1,0.993094552080102,0.000602443318750335,0.00630300460114755,1
10107261000,10107261,2,"Sunday",85,1,1,1,1,1,1,2,3,1,1,1,3,3,1,3,1,1,3,1,1,1,1,1,1,0.993094552080102,0.000602443318750335,0.00630300460114755,1
101072610000,10107261,2,"Monday",85,1,1,1,1,1,1,2,1,3,1,1,3,1,1,1,2,1,2,1,1,2,1,1,1,0.0116423751594,0.983262357432301,0.00509526740829876,2
101080710,10108071,2,"Friday",71,1,1,1,1,1,1,1,3,3,1,1,3,1,3,1,3,3,1,3,1,1,1,1,1,0.999145154490049,2.91216363965886e-006,0.000851933346310955,1
1010807100,10108071,2,"Saturday",71,1,1,1,1,1,1,1,3,3,1,3,1,3,1,1,3,3,1,2,1,1,1,1,1,0.997588088298616,0.000198752403993178,0.00221315929739109,1
10108071000,10108071,2,"Sunday",71,1,1,1,1,1,1,1,3,3,1,1,1,3,1,3,1,3,1,3,1,1,1,1,1,0.998660300941041,1.38098241144677e-005,0.00132588923484442,1
101080710000,10108071,2,"Monday",71,1,1,1,1,1,1,1,3,2,1,1,2,1,2,2,2,1,1,2,1,1,1,1,1,5.26023526622649e-006,0.999990882895438,3.85686929586491e-006,2
101082110,10108211,2,"Thursday",28,1,1,1,1,1,1,1,1,1,1,1,1,1,3,1,3,1,3,1,1,1,1,1,1,0.995071328910872,0.00242979654691151,0.00249887454221661,1
1010821100,10108211,2,"Friday",28,1,1,1,1,1,1,1,1,1,1,1,2,1,3,1,1,1,1,3,1,1,3,1,1,0.977477665201849,0.0180147627501614,0.00450757204798997,1
10108211000,10108211,2,"Saturday",28,1,1,1,1,1,1,1,3,1,1,1,2,1,1,1,1,1,3,1,1,1,3,1,3,0.971275316178716,0.0075057978304895,0.0212188859907949,1
101082110000,10108211,2,"Sunday",28,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,2,1,1,2,1,1,1,0.00180050278484035,0.997348238059956,0.000851259155203863,2
101090110,10109011,2,"Friday",82,1,1,1,1,1,1,1,3,3,1,3,1,3,1,1,3,1,1,3,1,2,3,1,1,0.994502447426358,1.29242278190761e-005,0.00548462834582269,1
1010901100,10109011,2,"Saturday",82,1,1,1,1,1,1,1,3,3,1,3,3,2,1,1,1,3,1,3,1,2,3,1,1,0.988660535908278,0.000164641237523395,0.0111748228541984,1
