"PARAM","GROUP","VARIABLE","RESPCAT","ESTLC1","ESTLC2","ESTLC3"
"RHO",1,"H0",4,0.00622251661344365,0.00299417077935039,0.00841917008478254
"RHO",1,"H1",4,0.00384219959645765,0.000897879374946682,0.00384264679034926
"RHO",1,"H2",4,0.00327128213007201,0.000466914107559738,0.00179081591389915
"RHO",1,"H3",4,0.00146908049246569,0.00121682493128646,0.00210772641439897
"RHO",1,"H4",4,0.00096133716222918,0.00218167142099821,0.00426839708023932
"RHO",1,"H5",4,0.00405632620219482,0.00739999691035931,0.00445935392803278
"RHO",1,"H6",4,0.0367127117519732,0.0720701118069938,0.0511376522220432
"RHO",1,"H7",4,0.104100199971501,0.203412974313074,0.150251078735575
"RHO",1,"H8",4,0.122697406803321,0.217248280270991,0.185913552437589
"RHO",1,"H9",4,0.124630308234535,0.140070564560925,0.166348558209771
"RHO",1,"H10",4,0.0884589897466729,0.127609474665775,0.15043711211533
"RHO",1,"H11",4,0.0705999204013065,0.0481505915618858,0.117273579656417
"RHO",1,"H12",4,0.0668471256215365,0.362186372221659,0.0296765379245294
"RHO",1,"H13",4,0.101834400857309,0.0304492655973497,0.270590408005082
"RHO",1,"H14",4,0.0705588943112148,0.0854902193948181,0.07984378154413
"RHO",1,"H15",4,0.0505353375996728,0.112086402718646,0.111422774497041
"RHO",1,"H16",4,0.0611715716313795,0.100027385024558,0.101655421682324
"RHO",1,"H17",4,0.0588712961607431,0.117128996785815,0.0868363743634862
"RHO",1,"H18",4,0.0567871396557348,0.120046086836257,0.131209192162075
"RHO",1,"H19",4,0.0532320222363315,0.0930128827652853,0.112422704495237
"RHO",1,"H20",4,0.0472294682330828,0.107331473659373,0.115104219593406
"RHO",1,"H21",4,0.039150105270962,0.108595624700056,0.119967247463202
"RHO",1,"H22",4,0.03241928200804,0.0674161527716908,0.0859400908697177
"RHO",1,"H23",4,0.0174345956626734,0.0159643489784289,0.0264283515249014
"RHO",1,"H0",5,0.00481727402757608,0.00479936709372708,0.00532645155919504
"RHO",1,"H1",5,0.00234041393424549,0.00143145058902186,0.0038147729702426
"RHO",1,"H2",5,0.00158412878971903,0.00178272881481859,0.00289083457302776
"RHO",1,"H3",5,0.00120372883701757,0.00145887938962454,0.00266924679983743
"RHO",1,"H4",5,0.00053809155231379,0.00212453960334752,0.00301031971040905
"RHO",1,"H5",5,0.00220249081890407,0.00284236469618534,0.00465034534881782
"RHO",1,"H6",5,0.0125913455089397,0.0386272256844011,0.0261196802518975
"RHO",1,"H7",5,0.0342108260624538,0.0912950428935369,0.0800330443249707
"RHO",1,"H8",5,0.0421396487621451,0.0922394182402007,0.0886619163858407
"RHO",1,"H9",5,0.0456728192104904,0.0846386466768235,0.0798714875592056
"RHO",1,"H10",5,0.043114003111361,0.103447386362382,0.0953513183551797
"RHO",1,"H11",5,0.0424811568354812,0.0628692213713139,0.0839954435933944
"RHO",1,"H12",5,0.0345386168483164,0.0809939181141455,0.0351700424817597
"RHO",1,"H13",5,0.0433599876241113,0.0501474343170247,0.0664383110838934
"RHO",1,"H14",5,0.039926435613904,0.0723076580260622,0.0497058807878499
"RHO",1,"H15",5,0.0458143527101596,0.102724327878547,0.0871961395947497
"RHO",1,"H16",5,0.0441982234567073,0.0674941642961139,0.0740255787794716
"RHO",1,"H17",5,0.0286939713284672,0.0366368109682323,0.0395132463600309
"RHO",1,"H18",5,0.0225093467147015,0.0412700086137357,0.0385732924362318
"RHO",1,"H19",5,0.0171693242214672,0.0509387280123435,0.0517205521050942
"RHO",1,"H20",5,0.0207533217135162,0.0766457731767122,0.0630830308105596
"RHO",1,"H21",5,0.0168972430846252,0.0682327383384704,0.0782962595695387
"RHO",1,"H22",5,0.0194370308676442,0.0504558989826801,0.0580440827117391
"RHO",1,"H23",5,0.0070172477486557,0.0112477805119797,0.0190739885855167
